Starting aircraft logger...
Connecting to 127.0.0.1:30003...
Connected. Listening for aircraft data...
Logged aircraft: ['2025-05-05 02:16:01', '7C6DB0', 'QFA437', '16100', '373', '-37.45097', '145.63722']
Logged aircraft: ['2025-05-05 02:16:06', '7C6DB0', 'QFA437', '15950', '373', '-37.45328', '145.63297']
Logged aircraft: ['2025-05-05 02:16:11', '7C6DB0', 'QFA437', '15750', '373', '-37.45747', '145.62600']
Logged aircraft: ['2025-05-05 02:16:16', '7C6DB0', 'QFA437', '15600', '373', '-37.46156', '145.61900']
Logged aircraft: ['2025-05-05 02:16:20', '7C6DB0', 'QFA437', '15400', '372', '-37.46636', '145.61082']
Logged aircraft: ['2025-05-05 02:16:25', '7C6DB0', 'QFA437', '15200', '371', '-37.47162', '145.60175']
Logged aircraft: ['2025-05-05 02:16:36', '7C6DB0', 'QFA437', '15000', '371', '-37.47693', '145.59269']
Flushed stale aircraft: ['2025-05-05 02:18:55', '7C6DB0', '', '14575', '371', '-37.48740', '145.57482']
Logged aircraft: ['2025-05-05 02:36:10', '7C7A3F', 'VOZ834', '15375', '336', '-37.45225', '145.63542']
Logged aircraft: ['2025-05-05 02:36:14', '7C7A3F', 'VOZ834', '15275', '335', '-37.45271', '145.63465']
Logged aircraft: ['2025-05-05 02:36:29', '7C7A3F', 'VOZ834', '15175', '336', '-37.45578', '145.62921']
Logged aircraft: ['2025-05-05 02:36:34', '7C7A3F', 'VOZ834', '14675', '336', '-37.46924', '145.60605']
Logged aircraft: ['2025-05-05 02:36:39', '7C7A3F', 'VOZ834', '14500', '336', '-37.47385', '145.59816']
Logged aircraft: ['2025-05-05 02:36:44', '7C7A3F', 'VOZ834', '14350', '336', '-37.47853', '145.59012']
Logged aircraft: ['2025-05-05 02:36:49', '7C7A3F', 'VOZ834', '14175', '336', '-37.48334', '145.58194']
Logged aircraft: ['2025-05-05 02:36:53', '7C7A3F', 'VOZ834', '14025', '336', '-37.48755', '145.57469']
Flushed stale aircraft: ['2025-05-05 02:38:17', '7CAD45', '', '17175', '371', '-37.23555', '145.46237']
Logged aircraft: ['2025-05-05 02:38:29', '7C6DB4', 'QFA442', '19150', '418', '-37.20314', '145.41323']
Logged aircraft: ['2025-05-05 02:38:39', '7C6DB4', 'QFA442', '19700', '418', '-37.19757', '145.42250']
Logged aircraft: ['2025-05-05 02:38:49', '7C6DB4', 'QFA442', '20125', '419', '-37.18588', '145.44191']
Logged aircraft: ['2025-05-05 02:38:59', '7C6DB4', 'QFA442', '20800', '420', '-37.16298', '145.48006']
Flushed stale aircraft: ['2025-05-05 02:39:34', '7C7A3F', '', '13725', '336', '-37.49524', '145.56143']
Flushed stale aircraft: ['2025-05-05 02:41:05', '7C6DB4', '', '20975', '423', '-37.16002', '145.48499']
Logged aircraft: ['2025-05-05 02:41:06', '7C6DDE', 'QFA439', '15425', '297', '-37.44993', '145.63906']
Logged aircraft: ['2025-05-05 02:41:11', '7C6DDE', 'QFA439', '15375', '298', '-37.45152', '145.63605']
Logged aircraft: ['2025-05-05 02:41:16', '7C6DDE', 'QFA439', '15275', '300', '-37.45546', '145.62910']
Logged aircraft: ['2025-05-05 02:41:21', '7C6DDE', 'QFA439', '15125', '302', '-37.45956', '145.62199']
Logged aircraft: ['2025-05-05 02:41:26', '7C6DDE', 'QFA439', '15000', '304', '-37.46361', '145.61500']
